Wellenzahl	SKS (1050 °C)	Norm. ÜF = Referenz / Planck
7099.55423	2.99700E+10	0.000108935
7097.62553	2.99921E+10	0.000107915
7095.69682	3.00143E+10	0.00010726
7093.76812	3.00365E+10	0.000107955
7091.83942	3.00587E+10	0.000109433
7089.91072	3.00809E+10	0.000110227
7087.98201	3.01031E+10	0.000110299
7086.05331	3.01253E+10	0.000110433
7084.12461	3.01475E+10	0.000110504
7082.19591	3.01697E+10	0.000110144
7080.2672	3.01920E+10	0.000109989
7078.3385	3.02142E+10	0.000110511
7076.4098	3.02364E+10	0.000110963
7074.4811	3.02587E+10	0.000110596
7072.55239	3.02809E+10	0.000109548
7070.62369	3.03032E+10	0.000108938
7068.69499	3.03254E+10	0.000109521
7066.76629	3.03477E+10	0.000110561
7064.83758	3.03699E+10	0.000111411
7062.90888	3.03922E+10	0.00011217
7060.98018	3.04145E+10	0.000112757
7059.05148	3.04368E+10	0.00011293
7057.12277	3.04591E+10	0.000112743
7055.19407	3.04813E+10	0.000112601
7053.26537	3.05036E+10	0.000112833
7051.33666	3.05259E+10	0.00011316
7049.40796	3.05482E+10	0.000112954
7047.47926	3.05706E+10	0.000112406
7045.55056	3.05929E+10	0.000112264
7043.62185	3.06152E+10	0.00011252
7041.69315	3.06375E+10	0.000112857
7039.76445	3.06598E+10	0.000113223
7037.83575	3.06822E+10	0.000113482
7035.90704	3.07045E+10	0.000113704
7033.97834	3.07269E+10	0.000114026
7032.04964	3.07492E+10	0.000114183
7030.12094	3.07716E+10	0.000114049
7028.19223	3.07939E+10	0.000113828
7026.26353	3.08163E+10	0.000113673
7024.33483	3.08386E+10	0.00011375
7022.40613	3.08610E+10	0.000114295
7020.47742	3.08834E+10	0.000115138
7018.54872	3.09058E+10	0.000115536
7016.62002	3.09282E+10	0.000115213
7014.69132	3.09506E+10	0.00011492
7012.76261	3.09730E+10	0.000115177
7010.83391	3.09954E+10	0.000115563
7008.90521	3.10178E+10	0.000115821
7006.97651	3.10402E+10	0.000116122
7005.0478	3.10626E+10	0.000116237
7003.1191	3.10850E+10	0.000116057
7001.1904	3.11074E+10	0.000116016
6999.26169	3.11298E+10	0.000116259
6997.33299	3.11523E+10	0.000116539
6995.40429	3.11747E+10	0.00011674
6993.47559	3.11972E+10	0.000116865
6991.54688	3.12196E+10	0.0001169
6989.61818	3.12420E+10	0.000116902
6987.68948	3.12645E+10	0.000116926
6985.76078	3.12870E+10	0.000117042
6983.83207	3.13094E+10	0.000117206
6981.90337	3.13319E+10	0.000117283
6979.97467	3.13544E+10	0.000117624
6978.04597	3.13768E+10	0.000118402
6976.11726	3.13993E+10	0.000118829
6974.18856	3.14218E+10	0.000118429
6972.25986	3.14443E+10	0.000117978
6970.33116	3.14668E+10	0.000118324
6968.40245	3.14893E+10	0.000119185
6966.47375	3.15118E+10	0.000119836
6964.54505	3.15343E+10	0.000119995
6962.61635	3.15568E+10	0.000119913
6960.68764	3.15793E+10	0.000119925
6958.75894	3.16018E+10	0.000119772
6956.83024	3.16243E+10	0.000119292
6954.90154	3.16468E+10	0.000119094
6952.97283	3.16694E+10	0.00011961
6951.04413	3.16919E+10	0.000120362
6949.11543	3.17144E+10	0.000120543
6947.18673	3.17370E+10	0.000120329
6945.25802	3.17595E+10	0.000120581
6943.32932	3.17821E+10	0.000121146
6941.40062	3.18046E+10	0.00012119
6939.47191	3.18272E+10	0.000120787
6937.54321	3.18497E+10	0.000120611
6935.61451	3.18723E+10	0.000120783
6933.68581	3.18948E+10	0.000121057
6931.7571	3.19174E+10	0.000121498
6929.8284	3.19400E+10	0.000122142
6927.8997	3.19626E+10	0.000122551
6925.971	3.19851E+10	0.000122463
6924.04229	3.20077E+10	0.000122244
6922.11359	3.20303E+10	0.000122225
6920.18489	3.20529E+10	0.000122198
6918.25619	3.20755E+10	0.00012203
6916.32748	3.20981E+10	0.000122184
6914.39878	3.21207E+10	0.000122745
6912.47008	3.21433E+10	0.000123241
6910.54138	3.21659E+10	0.000123614
6908.61267	3.21885E+10	0.000123834
6906.68397	3.22111E+10	0.00012368
6904.75527	3.22338E+10	0.00012345
6902.82657	3.22564E+10	0.000123566
6900.89786	3.22790E+10	0.000123867
6898.96916	3.23016E+10	0.000124063
6897.04046	3.23243E+10	0.000124192
6895.11176	3.23469E+10	0.000124286
6893.18305	3.23695E+10	0.000124471
6891.25435	3.23922E+10	0.000124868
6889.32565	3.24148E+10	0.000125216
6887.39694	3.24375E+10	0.000125394
6885.46824	3.24601E+10	0.000125587
6883.53954	3.24828E+10	0.000125923
6881.61084	3.25054E+10	0.000126319
6879.68213	3.25281E+10	0.000126488
6877.75343	3.25508E+10	0.000126472
6875.82473	3.25734E+10	0.000126545
6873.89603	3.25961E+10	0.00012657
6871.96732	3.26188E+10	0.00012647
6870.03862	3.26414E+10	0.000126556
6868.10992	3.26641E+10	0.000126824
6866.18122	3.26868E+10	0.000126968
6864.25251	3.27095E+10	0.000127024
6862.32381	3.27322E+10	0.000127127
6860.39511	3.27549E+10	0.000127266
6858.46641	3.27776E+10	0.000127578
6856.5377	3.28002E+10	0.000128103
6854.609	3.28229E+10	0.000128548
6852.6803	3.28457E+10	0.000128602
6850.7516	3.28684E+10	0.000128301
6848.82289	3.28911E+10	0.000128103
6846.89419	3.29138E+10	0.000128312
6844.96549	3.29365E+10	0.000128705
6843.03679	3.29592E+10	0.00012901
6841.10808	3.29819E+10	0.000129165
6839.17938	3.30046E+10	0.000129286
6837.25068	3.30274E+10	0.000129432
6835.32197	3.30501E+10	0.000129439
6833.39327	3.30728E+10	0.00012941
6831.46457	3.30955E+10	0.000129599
6829.53587	3.31183E+10	0.000129821
6827.60716	3.31410E+10	0.000129868
6825.67846	3.31638E+10	0.000129898
6823.74976	3.31865E+10	0.000129996
6821.82106	3.32092E+10	0.000130027
6819.89235	3.32320E+10	0.000130075
6817.96365	3.32547E+10	0.000130282
6816.03495	3.32775E+10	0.000130545
6814.10625	3.33002E+10	0.000130874
6812.17754	3.33230E+10	0.000131297
6810.24884	3.33457E+10	0.000131567
6808.32014	3.33685E+10	0.000131431
6806.39144	3.33913E+10	0.000131076
6804.46273	3.34140E+10	0.000131051
6802.53403	3.34368E+10	0.000131405
6800.60533	3.34596E+10	0.000131714
6798.67663	3.34823E+10	0.000132006
6796.74792	3.35051E+10	0.000132436
6794.81922	3.35279E+10	0.00013268
6792.89052	3.35507E+10	0.000132632
6790.96182	3.35734E+10	0.000132693
6789.03311	3.35962E+10	0.000133074
6787.10441	3.36190E+10	0.000133557
6785.17571	3.36418E+10	0.00013387
6783.24701	3.36646E+10	0.000134001
6781.3183	3.36874E+10	0.000134011
6779.3896	3.37101E+10	0.00013393
6777.4609	3.37329E+10	0.000133991
6775.53219	3.37557E+10	0.000134346
6773.60349	3.37785E+10	0.000134819
6771.67479	3.38013E+10	0.000135084
6769.74609	3.38241E+10	0.000134904
6767.81738	3.38469E+10	0.000134501
6765.88868	3.38697E+10	0.000134389
6763.95998	3.38925E+10	0.000134667
6762.03128	3.39153E+10	0.000135025
6760.10257	3.39381E+10	0.000135389
6758.17387	3.39610E+10	0.000135783
6756.24517	3.39838E+10	0.000136114
6754.31647	3.40066E+10	0.000136496
6752.38776	3.40294E+10	0.000136847
6750.45906	3.40522E+10	0.000136706
6748.53036	3.40750E+10	0.000136181
6746.60166	3.40978E+10	0.000136046
6744.67295	3.41207E+10	0.00013648
6742.74425	3.41435E+10	0.000136939
6740.81555	3.41663E+10	0.000137231
6738.88685	3.41891E+10	0.000137414
6736.95814	3.42120E+10	0.000137456
